               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 111,            0.013253,            0.057129,                   0,                   1,                   1,             0.99824,             0.95021,           0.0077227,            0.031663,                   0,           0.0033235,           0.0033235,           0.0033235
                 112,             0.01325,            0.057959,                   0,                   1,                   1,             0.99816,             0.95064,           0.0076038,            0.031945,                   0,           0.0032618,           0.0032618,           0.0032618
                 113,            0.013446,            0.057663,                   0,                   1,                   1,             0.99834,              0.9497,           0.0074615,            0.030922,                   0,           0.0032013,           0.0032013,           0.0032013
                 114,            0.013622,            0.058742,                   0,                   1,                   1,             0.99843,             0.94827,           0.0076336,            0.033432,                   0,           0.0031421,           0.0031421,           0.0031421
                 115,            0.013003,            0.055791,                   0,                   1,                   1,             0.99831,             0.95162,           0.0072115,             0.03131,                   0,           0.0030841,           0.0030841,           0.0030841
                 116,            0.013578,            0.058314,                   0,                   1,                   1,             0.99759,              0.9412,           0.0076725,            0.033712,                   0,           0.0030274,           0.0030274,           0.0030274
                 117,            0.013448,            0.059204,                   0,             0.99947,                   1,             0.99816,             0.95077,           0.0073086,            0.031113,                   0,            0.002972,            0.002972,            0.002972
                 118,            0.012997,            0.056334,                   0,             0.99999,                   1,             0.99839,             0.94937,           0.0074392,             0.03289,                   0,           0.0029179,           0.0029179,           0.0029179
                 119,            0.012799,            0.055707,                   0,                   1,                   1,             0.99741,             0.93755,           0.0085335,            0.037274,                   0,           0.0028652,           0.0028652,           0.0028652
                 120,             0.01285,            0.055011,                   0,                   1,                   1,             0.99818,             0.94721,           0.0078537,            0.034959,                   0,           0.0028139,           0.0028139,           0.0028139
                 121,            0.012799,            0.055192,                   0,                   1,                   1,             0.99737,             0.94246,           0.0082525,            0.036165,                   0,           0.0027639,           0.0027639,           0.0027639
                 122,            0.012635,            0.056104,                   0,                   1,                   1,             0.99774,              0.9485,           0.0075597,            0.032716,                   0,           0.0027154,           0.0027154,           0.0027154
                 123,            0.012465,            0.053155,                   0,                   1,                   1,              0.9988,             0.95409,           0.0071209,            0.031658,                   0,           0.0026683,           0.0026683,           0.0026683
                 124,            0.012963,             0.05622,                   0,                   1,                   1,             0.99744,             0.94776,           0.0074184,            0.031959,                   0,           0.0026227,           0.0026227,           0.0026227
                 125,             0.01271,            0.055354,                   0,                   1,                   1,             0.99853,             0.95173,           0.0071155,            0.030537,                   0,           0.0025785,           0.0025785,           0.0025785
                 126,            0.012619,            0.054508,                   0,                   1,                   1,             0.99853,             0.96138,           0.0067717,            0.029629,                   0,           0.0025359,           0.0025359,           0.0025359
                 127,            0.012288,            0.052263,                   0,             0.99948,                   1,             0.99791,             0.95403,           0.0072938,            0.031568,                   0,           0.0024948,           0.0024948,           0.0024948
                 128,            0.012787,             0.05548,                   0,             0.99948,                   1,             0.99876,             0.95201,           0.0073941,            0.031565,                   0,           0.0024552,           0.0024552,           0.0024552
                 129,            0.012542,            0.053841,                   0,                   1,                   1,             0.99739,             0.95041,           0.0076458,            0.032478,                   0,           0.0024172,           0.0024172,           0.0024172
                 130,            0.012582,            0.054369,                   0,                   1,                   1,             0.99869,               0.955,           0.0072683,            0.032294,                   0,           0.0023807,           0.0023807,           0.0023807
                 131,            0.012487,            0.054188,                   0,                   1,                   1,             0.99874,             0.95929,           0.0069723,            0.030821,                   0,           0.0023458,           0.0023458,           0.0023458
                 132,            0.012543,            0.056354,                   0,                   1,                   1,             0.99895,             0.95847,           0.0072626,            0.030828,                   0,           0.0023125,           0.0023125,           0.0023125
                 133,            0.012265,            0.053101,                   0,                   1,                   1,             0.99907,              0.9553,           0.0070564,            0.030909,                   0,           0.0022809,           0.0022809,           0.0022809
                 134,            0.012791,             0.05605,                   0,             0.99999,                   1,             0.99897,             0.96216,           0.0066903,            0.028305,                   0,           0.0022509,           0.0022509,           0.0022509
                 135,            0.012441,            0.055579,                   0,                   1,                   1,             0.99862,             0.95168,           0.0072564,            0.032155,                   0,           0.0022225,           0.0022225,           0.0022225
                 136,             0.01225,            0.053339,                   0,             0.99998,                   1,               0.999,             0.95739,           0.0070436,            0.030228,                   0,           0.0021958,           0.0021958,           0.0021958
                 137,            0.011908,            0.050953,                   0,                   1,                   1,             0.99879,             0.95777,           0.0068946,             0.03041,                   0,           0.0021707,           0.0021707,           0.0021707
                 138,            0.012199,            0.052214,                   0,                   1,                   1,             0.99884,             0.95618,           0.0067123,            0.030896,                   0,           0.0021473,           0.0021473,           0.0021473
